187; Деревообробні та меблеві технології; https://telegra.ph/187-12-13 
191; Архітектура та містобудування; https://telegra.ph/191-12-13 
192; Будівництво та цивільна інженерія; https://telegra.ph/192-12-13 
193; Геодезія та землеустрій; https://telegra.ph/193-12-13 
194; Гідротехнічне будівництво, водна інженерія та водні технології; https://telegra.ph/194-12-13 
201; Агрономія; https://telegra.ph/201-12-13 
202; Захист і карантин рослин; https://telegra.ph/202-12-13 
203; Садівництво та виноградарство; https://telegra.ph/203-12-13 
204; Технологія виробництва і переробки продукції тваринництва; https://telegra.ph/204-12-13 
205; Лісове господарство; https://telegra.ph/205-12-13 
206; Садово-паркове господарство; https://telegra.ph/206-12-13 
207; Водні біоресурси та аквакультура; https://telegra.ph/207-12-13 
208; Агроінженерія; https://telegra.ph/208-12-13 
211; Ветеринарна медицина; https://telegra.ph/211-12-13 
212; Ветеринарна гігієна, санітарія і експертиза; https://telegra.ph/212-12-13
221; Стоматологія; https://telegra.ph/221-12-13 
222; Медицина; https://telegra.ph/222-Medicina-12-13 
223; Медсестринство; https://telegra.ph/223-12-13 
224; Технології медичної діагностики та лікування; https://telegra.ph/224-12-13 
225; Медична психологія; https://telegra.ph/225-12-13 
226; Фармація, промислова фармація; https://telegra.ph/226-12-13 
227; Фізична терапія, ерготерапія; https://telegra.ph/227-12-13 
228; Педіатрія; https://telegra.ph/228-12-13-2 
229; Громадське здоров’я; https://telegra.ph/229-12-13 
231; Соціальна робота; https://telegra.ph/231-12-13 
232; Соціальне забезпечення; https://telegra.ph/232-12-13 
241; Готельно-ресторанна справа; https://telegra.ph/241-12-13 
242; Туризм; https://telegra.ph/242-12-13 
255; Озброєння та військова техніка (крім вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти); https://telegra.ph/255-12-13 
256; Національна безпека (за окремими сферами забезпечення і видами діяльності) (крім вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти); https://telegra.ph/256-12-13 
261.1; Пожежна безпека; https://telegra.ph/261-12-13
261.2; Пожежна безпека (для вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти); https://telegra.ph/261-12-13-2
262.1; Правоохоронна діяльність (для вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти); https://telegra.ph/262-12-13
262.2; Правоохоронна діяльність (крім вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти); https://telegra.ph/262-12-13-2
263; Цивільна безпека; https://telegra.ph/263-12-13 
271; Річковий та морський транспорт; https://telegra.ph/271-12-13 
272; Авіаційний транспорт; https://telegra.ph/272-12-13 
273; Залізничний транспорт; https://telegra.ph/273-12-13 
274; Автомобільний транспорт; https://telegra.ph/274-12-13 
275; Транспортні технології (за видами); https://telegra.ph/275-12-13 
281; Публічне управління та адміністрування; https://telegra.ph/281-12-13 
291; Міжнародні відносини, суспільні комунікації та регіональні студії; https://telegra.ph/291-12-13 
292; Міжнародні економічні відносини; https://telegra.ph/292-12-13 
293; Міжнародне право; https://telegra.ph/293-12-13
