123;Комп’ютерна інженерія;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
124;Системний аналіз;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
125;Кібербезпека;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
126;Інформаційні системи та технології;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
131;Прикладна механіка;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
132;Матеріалознавство;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
133;Галузеве машинобудування;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
134;Авіаційна та ракетно- космічна техніка;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
135;Суднобудування;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
136;Металургія;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
141;Електроенергетика, електротехніка та електромеханіка;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
142;Енергетичне машинобудування;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
143;Атомна енергетика;українська мова;математика;фізика,хімія
144;Теплоенергетика;українська мова;математика;фізика,хімія
145;Гідроенергетика;українська мова;математика;фізика,хімія
151;Автоматизація та комп’ютерно-інтегровані технології;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
152;Метрологія та інформаційно-вимірювальна техніка;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
153;Мікро- та наносистемна техніка;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
161;Хімічні технології та інженерія;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
162;Біотехнології та біоінженерія;українська мова;біологія;історія України,математика,іноземна мова,географія,фізика,хімія
163;Біомедична інженерія;українська мова;біологія;історія України,математика,іноземна мова,географія,фізика,хімія
171;Електроніка;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
172;Телекомунікації та радіотехніка;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
173;Авіоніка;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
181;Харчові технології;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
182;Технології легкої промисловості;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
183;Технології захисту навколишнього середовища;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
184;Гірництво;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
185;Нафтогазова інженерія та технології;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
186;Видавництво та поліграфія;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
187;Деревообробні та меблеві технології;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
191;Архітектура та містобудування;українська мова і література;математика;творчий конкурс
192;Будівництво та цивільна інженерія;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
193;Геодезія та землеустрій;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
194;Гідротехнічне будівництво, водна інженерія та водні технології;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
201;Агрономія;українська мова;біологія;історія України,математика,іноземна мова,географія,фізика,хімія
202;Захист і карантин рослин;українська мова;біологія;історія України,математика,іноземна мова,географія,фізика,хімія
203;Садівництво та виноградарство;українська мова;біологія;історія України,математика,іноземна мова,географія,фізика,хімія
204;Технологія виробництва і переробки продукції тваринництва;українська мова;біологія;історія України,математика,іноземна мова,географія,фізика,хімія
205;Лісове господарство;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
206;Садово-паркове господарство;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
207;Водні біоресурси та аквакультура;українська мова;біологія;історія України,математика,іноземна мова,географія,фізика,хімія
208;Агроінженерія;українська мова;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
211;Ветеринарна медицина;українська мова;біологія,математика;хімія,фізика
212;Ветеринарна гігієна, санітарія і експертиза;українська мова;біологія,математика;хімія,фізика
221;Стоматологія;українська мова;математика;фізика,біологія,хімія
222;Медицина;українська мова;математика;фізика,біологія,хімія
223;Медсестринство;українська мова;математика;фізика,біологія,хімія
224;Технології медичної діагностики та лікування;українська мова;математика;фізика,біологія,хімія
225;Медична психологія;українська мова;математика;фізика,біологія,хімія
226;Фармація, промислова фармація;українська мова;математика;фізика,біологія,хімія
227;Фізична терапія, ерготерапія;українська мова;математика;фізика,біологія,хімія
228;Педіатрія;українська мова;математика;фізика,біологія,хімія
229;Громадське здоров’я;українська мова;математика;фізика,біологія,хімія
231;Соціальна робота;українська мова і література;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
232;Соціальне забезпечення;українська мова і література;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
241;Готельно-ресторанна справа;українська мова і література;іноземна мова;історія України,математика,біологія,географія,фізика,хімія
242;Туризм;українська мова і література;іноземна мова;історія України,математика,біологія,географія,фізика,хімія
255;Озброєння та військова техніка (крім вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти);українська мова;математика;фізика,іноземна мова
256;Національна безпека (за окремими сферами забезпечення і видами діяльності) (крім вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти);українська мова;математика;історія України,іноземна мова
261.1;Пожежна безпека;українська мова;математика;фізика,біологія
261.2;Пожежна безпека (для вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти);українська мова;математика;творчий конкурс
262.1;Правоохоронна діяльність (для вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти);українська мова;історія України;творчий конкурс
262.2;Правоохоронна діяльність (крім вищих військових навчальних закладів (закладів вищої освіти із специфічними умовами навчання), військових навчальних підрозділів закладів вищої освіти);українська мова;математика;історія України,іноземна мова
263;Цивільна безпека;українська мова;математика;фізика,іноземна мова
271;Річковий та морський транспорт;українська мова;математика;фізика,іноземна мова
272;Авіаційний транспорт;українська мова;математика;фізика,іноземна мова
273;Залізничний транспорт;українська мова;математика;фізика,іноземна мова
274;Автомобільний транспорт;українська мова;математика;фізика,іноземна мова
275;Транспортні технології (за видами);українська мова;математика;фізика,іноземна мова
281;Публічне управління та адміністрування;українська мова і література;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
291;Міжнародні відносини, суспільні комунікації та регіональні студії;українська мова і література;іноземна мова;історія України,математика,біологія,географія,фізика,хімія
292;Міжнародні економічні відносини;українська мова і література;математика;історія України,іноземна мова,біологія,географія,фізика,хімія
293;Міжнародне право;українська мова і література;іноземна мова;історія України,математика
